title,x,y
Algeria,-163.0,261.0
Angola,7.0,-153.0
Benin,-142.0,89.0
Botswana,41.0,-239.0
Burkina Faso,-204.0,104.0
Burundi,126.0,-55.0
Cameroon,-66.0,36.0
Cape Verde,-348.0,185.0
Central African Republic,5.0,46.0
Chad,-6.0,131.0
Comoros,276.0,-114.0
Congo,-15.0,-21.0
Cote D'Ivoire,-230.0,69.0
Democratic Republic Of Congo,38.0,-70.0
Djibouti,244.0,106.0
Egypt,106.0,247.0
Equatorial Guinea,-148.0,-6.0
Eritrea,201.0,149.0
Ethiopia,196.0,77.0
Gabon,-69.0,-26.0
Gambia,-338.0,105.0
Ghana,-187.0,48.0
Guinea,-278.0,99.0
Guinea-Bissau,-337.0,103.0
Kenya,188.0,-20.0
Lesotho,98.0,-300.0
Liberia,-290.0,44.0
Libya,-10.0,256.0
Madagascar,260.0,-201.0
Malawi,165.0,-144.0
Mali,-188.0,186.0
Mauritania,-280.0,186.0
Mauritius,332.0,-225.0
Mayotte,274.0,-128.0
Morocco,-215.0,303.0
Mozambique,168.0,-196.0
Namibia,-23.0,-205.0
Niger,-92.0,159.0
Nigeria,-112.0,74.0
Reunion,316.0,-230.0
Rwanda,129.0,-35.0
Saint Helena,-127.0,-205.0
Sao Tome And Principe,-137.0,-9.0
Senegal,-310.0,142.0
Seychelles,299.0,-88.0
Sierra Leone,-323.0,70.0
Somalia,272.0,23.0
South Africa,25.0,-335.0
South Sudan,101.0,60.0
Sudan,96.0,153.0
Swaziland,129.0,-272.0
Tanzania,171.0,-85.0
Togo,-153.0,67.0
Tunisia,-66.0,321.0
Uganda,144.0,1.0
Western Sahara,-335.0,247.0
Zambia,71.0,-161.0
Zimbabwe,121.0,-194.0